rule_id,dimension,stratum,n_stratum,n_rule_group,n_comparison_group,severe_rate_rule,severe_rate_comparison,observed_rate_difference,model_risk_rule,model_risk_comparison,model_risk_difference,eligible_main_stratum
R04,Accident_Year,2019,1954,122,1832,0.20491803278688525,0.21943231441048036,-0.01451428162359511,0.17900754793632132,0.17013699144762698,0.008870556488694337,False
R04,Accident_Year,2020,2447,84,2363,0.23809523809523808,0.12441811256876852,0.11367712552646957,0.16441520892182884,0.12587240380579262,0.03854280511603622,False
R04,Accident_Year,2021,2784,123,2661,0.14634146341463414,0.09282224727546036,0.05351921613917378,0.17232462217142908,0.13182013788015168,0.0405044842912774,False
R04,Accident_Year,2022,2380,98,2282,0.11224489795918367,0.06792287467134094,0.04432202328784274,0.17567819181704847,0.1347369883615954,0.040941203455453073,False
R04,Accident_Year,2023,433,2,431,0.0,0.002320185614849188,-0.002320185614849188,0.10958856160607489,0.12048825316908256,-0.010899691563007671,False
R05,Source,Source1,9146,431,8715,0.0765661252900232,0.043144004589787725,0.03342212070023547,0.20627748480410862,0.13772099054192435,0.06855649426218427,True
R05,Source,Source2,6481,283,6198,0.4911660777385159,0.34769280413036463,0.14347327360815126,0.25550414753282513,0.226116666672854,0.029387480859971143,True
R05,Source,Source3,373,20,353,0.45,0.3314447592067989,0.11855524079320112,0.18988141138391726,0.15184292918043113,0.03803848220348613,False
R05,State,CA,11965,626,11339,0.21405750798722045,0.1592733045242085,0.054784203463011966,0.22367218623580987,0.16917693794802371,0.05449524828778615,True
R05,State,TX,4035,108,3927,0.4351851851851852,0.2144130379424497,0.22077214724273547,0.231408419874275,0.18767832625904526,0.043730093615229726,True
R05,Accident_Year,2016,1328,100,1228,0.36,0.3469055374592834,0.013094462540716612,0.32085027022441204,0.29323313429681863,0.027617135927593406,False
R05,Accident_Year,2017,1659,103,1556,0.32038834951456313,0.3643958868894602,-0.04400753737489704,0.3005919764084685,0.27744236136592615,0.02314961504254237,False
R05,Accident_Year,2018,1621,114,1507,0.39473684210526316,0.35700066357000665,0.037736178535256515,0.3004134975168017,0.2827372172836821,0.017676280233119568,False
R05,Accident_Year,2019,1954,100,1854,0.22,0.21844660194174756,0.001553398058252442,0.19479818323973208,0.16939054522994101,0.025407638009791067,False
R05,Accident_Year,2020,2447,112,2335,0.25892857142857145,0.12205567451820129,0.13687289691037016,0.15149214293658833,0.12603008468249408,0.025462058254094255,False
R05,Accident_Year,2021,2784,96,2688,0.125,0.09412202380952381,0.030877976190476192,0.1594240878615799,0.1326877243271792,0.026736363534400703,False
R05,Accident_Year,2022,2380,96,2284,0.041666666666666664,0.07092819614711034,-0.029261529480443672,0.1486295461886157,0.13590973459068492,0.012719811597930786,False
R05,Accident_Year,2023,433,13,420,0.0,0.002380952380952381,-0.002380952380952381,0.13059010914768893,0.12012367338134947,0.01046643576633946,False
R06,Source,Source1,9146,648,8498,0.08950617283950617,0.041303836196752174,0.048202336642753994,0.196368533740562,0.1367259612449467,0.059642572495615304,True
R06,Source,Source2,6481,404,6077,0.48514851485148514,0.34523613625143984,0.1399123786000453,0.25769152347312585,0.2253861112896159,0.03230541218350996,True
R06,Source,Source3,373,33,340,0.45454545454545453,0.3264705882352941,0.1280748663101604,0.1810754879738921,0.15124320919185913,0.029832278782032984,False
R06,State,CA,11965,927,11038,0.22006472491909385,0.1572748686356224,0.06278985628347145,0.21871980382149722,0.1681067974120067,0.05061300640949051,True
R06,State,TX,4035,158,3877,0.41139240506329117,0.2125354655661594,0.19885693949713176,0.21883809055466816,0.1876266387046827,0.031211451849985444,True
R06,Accident_Year,2016,1328,139,1189,0.37410071942446044,0.3448275862068966,0.029273133217563863,0.3218195240210523,0.29221396307822384,0.029605560942828457,False
R06,Accident_Year,2017,1659,150,1509,0.3333333333333333,0.36447978793903246,-0.031146454605699148,0.3104329024091809,0.275743109671356,0.03468979273782491,False
R06,Accident_Year,2018,1621,157,1464,0.42038216560509556,0.3531420765027322,0.06724008910236334,0.306267361678448,0.2815902659698825,0.024677095708565466,False
R06,Accident_Year,2019,1954,145,1809,0.2620689655172414,0.2150359314538419,0.04703303406339951,0.1932674385386402,0.16888121094095132,0.02438622759768888,False
R06,Accident_Year,2020,2447,197,2250,0.19796954314720813,0.12222222222222222,0.07574732092498591,0.13500275092991132,0.12651192258192404,0.008490828347987284,False
R06,Accident_Year,2021,2784,144,2640,0.11805555555555555,0.09393939393939393,0.02411616161616162,0.15023582255653506,0.13270278673410166,0.0175330358224334,False
R06,Accident_Year,2022,2380,129,2251,0.05426356589147287,0.07063527321190582,-0.016371707320432957,0.14426579636388281,0.13597333740928055,0.008292458954602261,False
R06,Accident_Year,2023,433,24,409,0.0,0.0024449877750611247,-0.0024449877750611247,0.12851186524868458,0.11996413074112054,0.008547734507564034,False
R07,Source,Source1,9146,403,8743,0.06699751861042183,0.04369209653437035,0.023305422076051477,0.19488019410247595,0.1384658938922731,0.056414300210202856,True
R07,Source,Source2,6481,364,6117,0.3956043956043956,0.35147948340689883,0.04412491219749676,0.23877870545636326,0.22672279303645945,0.012055912419903808,True
R07,Source,Source3,373,23,350,0.4782608695652174,0.32857142857142857,0.14968944099378884,0.1629419618026363,0.1532871917340283,0.009654770068607987,False
R07,State,CA,11965,563,11402,0.216696269982238,0.15944571127872303,0.057250558703514975,0.21739766135601193,0.16978786218495207,0.04760979917105987,True
R07,State,TX,4035,227,3808,0.2643171806167401,0.21769957983193278,0.04661760078480731,0.206189201706784,0.18781511233672596,0.01837408937005805,True
R07,Accident_Year,2016,1328,107,1221,0.2523364485981308,0.35626535626535627,-0.10392890766722546,0.2789734885535878,0.2967445967761675,-0.017771108222579712,False
R07,Accident_Year,2017,1659,135,1524,0.34074074074074073,0.36351706036745407,-0.022776319626713337,0.2813049573406546,0.2786647759937434,0.0026401813469111857,False
R07,Accident_Year,2018,1621,104,1517,0.4326923076923077,0.35464733025708634,0.07804497743522137,0.2882776769695046,0.28368572627461824,0.004591950694886382,False
R07,Accident_Year,2019,1954,109,1845,0.22935779816513763,0.21788617886178863,0.011471619303349001,0.18660349759213526,0.1697507360123258,0.016852761579809472,False
R07,Accident_Year,2020,2447,127,2320,0.16535433070866143,0.12629310344827585,0.03906122726038558,0.14821582514751042,0.1260448094606844,0.02217101568682603,False
R07,Accident_Year,2021,2784,99,2685,0.13131313131313133,0.09385474860335195,0.03745838270977937,0.15618391056594877,0.13277732151960536,0.023406589046343407,False
R07,Accident_Year,2022,2380,96,2284,0.052083333333333336,0.07049036777583187,-0.018407034442498534,0.15432932928148888,0.13567016402285836,0.01865916525863051,False
R07,Accident_Year,2023,433,13,420,0.0,0.002380952380952381,-0.002380952380952381,0.15012364780734738,0.11951906385140765,0.030604583955939735,False
R08,Source,Source1,9146,801,8345,0.10237203495630462,0.039185140802875974,0.06318689415342865,0.20971348912273344,0.13435153070534836,0.07536195841738508,True
R08,Source,Source2,6481,1088,5393,0.3492647058823529,0.3549045058409049,-0.005639799958551961,0.23676441035039347,0.22551067964563515,0.011253730704758325,True
R08,Source,Source3,373,46,327,0.391304347826087,0.3302752293577982,0.06102911846828879,0.16317797633235034,0.15257490922655173,0.010603067105798614,False
R08,State,CA,11965,1152,10813,0.2482638888888889,0.15296402478498103,0.09529986410390787,0.2306771199312185,0.16577971384587945,0.06489740608533906,True
R08,State,TX,4035,783,3252,0.24776500638569604,0.21371463714637146,0.034050369239324585,0.21372455683149685,0.1828593384276231,0.03086521840387374,True
R08,Accident_Year,2016,1328,272,1056,0.2977941176470588,0.36079545454545453,-0.06300133689839571,0.29905619177588993,0.294348514939292,0.0047076768365979516,False
R08,Accident_Year,2017,1659,372,1287,0.34408602150537637,0.3667443667443667,-0.02265834523899035,0.2818445551200469,0.27802262109618947,0.003821934023857443,False
R08,Accident_Year,2018,1621,274,1347,0.3759124087591241,0.35634743875278396,0.01956497000634011,0.2836158556936049,0.28405447713687937,-0.0004386214432744451,False
